Eugene Bagdasaryan,https://ebagdasa.github.io/
Jason Waterman,https://www.cs.vassar.edu/~jawaterman/
Eleanor Birrell,https://cs.pomona.edu/~ebirrell/
Nate Foster,https://www.cs.cornell.edu/~jnfoster/
Fred B. Schneider,https://www.cs.cornell.edu/fbs/
Deborah Estrin,https://destrin.smalldata.io/
